SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20200302|00810B105|ARPO|48443|AERPIO PHARMACEUTICALS INC COM|0.64
20200302|00829Q101|AOIFF|973|AFRICA OIL CORP ORD SHS (CANAD|0.91
20200302|00846U101|A|168|AGILENT TECHNOLOGIES, INC|77.07
20200302|00847L100|AGRX|100900|AGILE THERAPEUTICS INC COM STK|2.68
20200302|00847X104|AGIO|160|AGIOS PHARMACEUTICALS INC COM |47.48
20200302|008474108|AEM|4838|AGNICO EAGLE MINES LTD|47.53
20200302|00850M102|ACGBY|6|AGRICULTURAL BANK OF CHINA UNS|10.02
20200302|00851F106|AGFAF|357578|AGRAFLORA ORGANICS INTL INC CO|0.06
20200302|00856G109|AGFS|584|AGROFRESH SOLUTIONS INC COM ST|2.19
20200302|00856J202|AGTK|23948|AGRITEK HLDGS INC COM NEW|0.01
20200302|008712200|ADERY|49|AIDA ENGINEERING LTD ADR|95.35
20200302|00901B105|AIM|301284|AIM IMMUNOTECH INC COM|2.05
20200302|00912X302|AL|19785|AIR LEASE CORP CL A|38.36
20200302|00912X500|ALPRA|1532|AIR LEASE CORP NON CUM PERP PR|25.42
20200302|009136201|ANZLY|9538|AIR NEW ZEALAND LTD SPONSORED |7.74
20200302|00919P302|AIRTP|6|AIR T FDG 8% ALPHA INCOME TR P|24.21
20200302|00927V200|ABSSF|145|AIRBOSS OF AMERICA CP NEW(F)|6.76
20200302|009279100|EADSY|98727|AIRBUS SE AMERICAN DEPOSITARY |29.72
20200302|00950R100|AIPUY|2900|AIRPORTS OF THAILAND PUBLIC CO|19.65
20200302|00971T101|AKAM|136|AKAMAI TECHNOLOGIES INC|86.51
20200302|009719501|AKBTY|4781|AKBANK TURK ANONIM SIRKETI ADR|2.11
20200302|00972D105|AKBA|100|AKEBIA THERAPEUTICS INC COM|8.87
20200302|00972G108|AKTX|388|AKARI THERAPEUTICS PLC SPONSOR|1.84
20200302|00972L107|AKCA|40907|AKCEA THERAPEUTICS INC COM|16.98
20200302|00973N102|AKTS|21945|AKOUSTIS TECHNOLOGIES INC|7.24
20200302|00973W102|KERN|537|AKERNA CORP COM|7.59
